score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,band_low,band_high,band_label,n_components,config_name,subject_norm
0.5013503,1.6128943,2304.0,5,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,5
0.61844134,1.6128943,2304.0,5,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,5
0.6884645,1.6365578,2304.0,6,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,6
0.6415895,1.6365578,2304.0,6,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,6
0.6452546,1.6427822,2304.0,7,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,7
0.69810957,1.6427822,2304.0,7,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,7
0.98977625,1.7350521,2304.0,8,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,8
0.982446,1.7350521,2304.0,8,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,8
0.7947531,1.7639287,2304.0,9,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,9
0.7310957,1.7639287,2304.0,9,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,9
0.91049385,2.354805,2304.0,1,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,1
0.9365355,2.354805,2304.0,1,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,1
0.5706019,2.049957,2304.0,2,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,2
0.5578704,2.049957,2304.0,2,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,2
0.9834105,2.052011,2304.0,3,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,3
0.9768519,2.052011,2304.0,3,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,3
0.75,2.040626,2304.0,4,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,4
0.8092207,2.040626,2304.0,4,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,4
0.50887346,2.0600638,2304.0,5,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,5
0.62056327,2.0600638,2304.0,5,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,5
0.6869213,2.078404,2304.0,6,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,6
0.64544755,2.078404,2304.0,6,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,6
0.66415894,2.0547981,2304.0,7,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,7
0.6892361,2.0547981,2304.0,7,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,7
0.9907407,2.038596,2304.0,8,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,8
0.97897375,2.038596,2304.0,8,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,8
0.826196,2.043857,2304.0,9,0train,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,9
0.78838736,2.043857,2304.0,9,1test,22,2,BNCI2014-001,CSP+LDA,8,32,8-32,8,band_8_32__csp_8,9
0.91222996,1.853554,2304.0,1,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,1
0.94135803,1.853554,2304.0,1,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,1
0.5763889,1.7193882,2304.0,2,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,2
0.5304784,1.7193882,2304.0,2,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,2
0.9855324,2.0856082,2304.0,3,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,3
